Year,Month,flow.Hm3
1959,1,16.02
1959,2,10.97
1959,3,20.88
1959,4,17.04
1959,5,8.51
1959,6,16.98
1959,7,130.4
1959,8,345.1
1959,9,141.6
1959,10,39.99
1959,11,18.19
1959,12,12.79
1960,1,223.5
1960,2,16.19
1960,3,26
1960,4,23.55
1960,5,12.25
1960,6,9.29
1960,7,56.81
1960,8,154.8
1960,9,107.6
1960,10,61.71
1960,11,17.32
1960,12,22.65
1961,1,137.8
1961,2,21.67
1961,3,9.68
1961,4,12.08
1961,5,10.3
1961,6,17.99
1961,7,306
1961,8,239.8
1961,9,281.9
1961,10,95.6
1961,11,39.01
1961,12,32.62
1962,1,59
1962,2,12.07
1962,3,23.29
1962,4,14.39
1962,5,7.17
1962,6,23.27
1962,7,90.85
1962,8,107.7
1962,9,291.9
1962,10,292.2
1962,11,24.94
1962,12,16.6
1963,1,10.15
1963,2,5.66
1963,3,2.56
1963,4,1.97
1963,5,1.56
1963,6,6.39
1963,7,435.6
1963,8,244.9
1963,9,124.6
1963,10,42.67
1963,11,11.8
1963,12,267.5
1964,1,23.62
1964,2,9.79
1964,3,8.66
1964,4,4.59
1964,5,3.57
1964,6,11.59
1964,7,89.35
1964,8,213.1
1964,9,352.2
1964,10,183.9
1964,11,24
1964,12,13.91
1965,1,10.12
1965,2,20.8
1965,3,5.92
1965,4,4.85
1965,5,4
1965,6,5.38
1965,7,95.17
1965,8,184.6
1965,9,144.8
1965,10,19.76
1965,11,5.5
1965,12,92.74
1966,1,15.74
1966,2,26.56
1966,3,6.34
1966,4,5.38
1966,5,5.96
1966,6,10.32
1966,7,106.6
1966,8,475.4
1966,9,225.5
1966,10,69.01
1966,11,13.65
1966,12,8.81
1967,1,7.83
1967,2,12.96
1967,3,5.03
1967,4,2.27
1967,5,2.86
1967,6,14.66
1967,7,127.2
1967,8,238.4
1967,9,167.1
1967,10,71.07
1967,11,16.35
1967,12,143.3
1968,1,58.78
1968,2,107.6
1968,3,68.85
1968,4,56.77
1968,5,7.77
1968,6,6.21
1968,7,241.5
1968,8,351.3
1968,9,578.5
1968,10,54.92
1968,11,59.82
1968,12,42.77
1969,1,53.5
1969,2,21.79
1969,3,8.78
1969,4,3.45
1969,5,21.81
1969,6,16.05
1969,7,147.2
1969,8,123.1
1969,9,89.85
1969,10,39.72
1969,11,8.68
1969,12,33.76
1970,1,66.15
1970,2,9.11
1970,3,5.85
1970,4,3.36
1970,5,1.4
1970,6,6.6
1970,7,159.96
1970,8,310.5
1970,9,306.84
1970,10,54.14
1970,11,9.2
1970,12,5.59
1971,1,4.43
1971,2,2.51
1971,3,1.72
1971,4,0.96
1971,5,0.66
1971,6,24.28
1971,7,204.85
1971,8,392.51
1971,9,197.82
1971,10,188.03
1971,11,53.44
1971,12,30.83
1972,1,45
1972,2,10.67
1972,3,3.8
1972,4,1.58
1972,5,4.03
1972,6,9.08
1972,7,54.78
1972,8,138.74
1972,9,166.44
1972,10,248.64
1972,11,165.87
1972,12,33
1973,1,22.91
1973,2,54.75
1973,3,17.2
1973,4,5.36
1973,5,2.53
1973,6,3.75
1973,7,45.22
1973,8,309.24
1973,9,244.42
1973,10,39.73
1973,11,14.97
1973,12,14.23
1974,1,7.93
1974,2,2.81
1974,3,2.03
1974,4,1.03
1974,5,0.93
1974,6,1.65
1974,7,225.1
1974,8,284.14
1974,9,215.79
1974,10,101
1974,11,82.93
1974,12,57.5
1975,1,25.42
1975,2,13
1975,3,4.97
1975,4,9.84
1975,5,1.61
1975,6,1.85
1975,7,155.47
1975,8,253.72
1975,9,185.34
1975,10,15.9
1975,11,6.27
1975,12,4.65
1976,1,3.28
1976,2,2.33
1976,3,1.52
1976,4,1.24
1976,5,0.35
1976,6,15.86
1976,7,127.53
1976,8,129
1976,9,120.02
1976,10,130.92
1976,11,58.87
1976,12,24.99
1977,1,26.59
1977,2,8.34
1977,3,4.02
1977,4,2.35
1977,5,2.1
1977,6,23.29
1977,7,100.35
1977,8,251.38
1977,9,162.45
1977,10,36.45
1977,11,11.42
1977,12,5.1
1978,1,3.32
1978,2,5.43
1978,3,1.94
1978,4,1.32
1978,5,0.83
1978,6,3.31
1978,7,139.18
1978,8,193.16
1978,9,344.71
1978,10,59.7
1978,11,15.81
1978,12,20.7
1979,1,137.77
1979,2,82.5
1979,3,12.09
1979,4,4.18
1979,5,4.17
1979,6,1.77
1979,7,70.83
1979,8,203.14
1979,9,49.03
1979,10,7.07
1979,11,3.46
1979,12,3.37
1980,1,2.42
1980,2,1.92
1980,3,1.79
1980,4,0.96
1980,5,0.67
1980,6,2.71
1980,7,74.87
1980,8,349.21
1980,9,156.77
1980,10,111.62
1980,11,19.85
1980,12,12.94
1981,1,52.53
1981,2,10.85
1981,3,5.17
1981,4,4.56
1981,5,2.37
1981,6,3.78
1981,7,189.41
1981,8,161.87
1981,9,330.3
1981,10,227.26
1981,11,19.86
1981,12,9.69
1982,1,10.83
1982,2,3.71
1982,3,2.42
1982,4,1.45
1982,5,1.09
1982,6,0.72
1982,7,57.76
1982,8,42.57
1982,9,68.38
1982,10,27.75
1982,11,52.74
1982,12,65.34
1983,1,33.53
1983,2,52.82
1983,3,77.29
1983,4,13.22
1983,5,3.75
1983,6,3.93
1983,7,59.79
1983,8,184.38
1983,9,182.53
1983,10,70.16
1983,11,56.34
1983,12,29.34
1984,1,26.29
1984,2,10.88
1984,3,3.63
1984,4,2.02
1984,5,2.78
1984,6,119.8
1984,7,351.88
1984,8,285.77
1984,9,90.3
1984,10,39.45
1984,11,16.43
1984,12,161.63
1985,1,209.4
1985,2,28.3
1985,3,11.57
1985,4,6.52
1985,5,3.93
1985,6,18.01
1985,7,114.64
1985,8,284.14
1985,9,185.68
1985,10,233.6
1985,11,21.84
1985,12,9.92
1986,1,10.94
1986,2,5.7
1986,3,2.35
1986,4,1.52
1986,5,1.16
1986,6,4.43
1986,7,177.52
1986,8,163.83
1986,9,135.44
1986,10,377.39
1986,11,18.2
1986,12,22.41
1987,1,12.77
1987,2,5.94
1987,3,5.59
1987,4,2.48
1987,5,1.92
1987,6,0
1987,7,122.25
1987,8,246.52
1987,9,91.45
1987,10,30.12
1987,11,0
1987,12,44.35
1988,1,14.55
1988,2,6.3
1988,3,4.3
1988,4,4.16
1988,5,3.06
1988,6,13.04
1988,7,340.04
1988,8,465.74
1988,9,247.02
1988,10,38.96
1988,11,0
1988,12,25.62
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,54.48
1989,8,414.37
1989,9,214.18
1989,10,0
1989,11,34.29
1989,12,37.4
1990,1,16.77
1990,2,9.35
1990,3,0
1990,4,0
1990,5,0
1990,6,22.86
1990,7,559.51
1990,8,220.36
1990,9,167.04
1990,10,156.06
1990,11,19.89
1990,12,63.2
1991,1,13.62
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,413.07
1991,8,257.89
1991,9,232.85
1991,10,54.7
1991,11,30.72
1991,12,99.13
1992,1,0
1992,2,18.66
1992,3,19
1992,4,11.1
1992,5,0.17
1992,6,3.73
1992,7,130.4
1992,8,133.7
1992,9,72.8
1992,10,13.21
1992,11,0.51
1992,12,0.31
1993,1,0.43
1993,2,0.48
1993,3,0
1993,4,0
1993,5,0.02
1993,6,5.68
1993,7,189.95
1993,8,172.49
1993,9,324.01
1993,10,28.2
1993,11,15.11
1993,12,0
1994,1,0
1994,2,0
1994,3,0.34
1994,4,0
1994,5,0
1994,6,13.9
1994,7,58.56
1994,8,201.89
1994,9,147.54
1994,10,8.5
1994,11,3.55
1994,12,4.58
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,4.56
1995,7,120.37
1995,8,169.74
1995,9,136.93
1995,10,8.62
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,12.25
1996,7,122.09
1996,8,130.92
1996,9,597.12
1996,10,12.14
1996,11,0
1996,12,6.29
1997,1,0.13
1997,2,0
1997,3,0
1997,4,68.43
1997,5,0
1997,6,8.04
1997,7,66.59
1997,8,89.41
1997,9,99.24
1997,10,14.54
1997,11,37.99
1997,12,34.21
1998,1,7.56
1998,2,3.35
1998,3,0
1998,4,1.11
1998,5,0
1998,6,0
1998,7,57.46
1998,8,142.36
1998,9,97.86
1998,10,47.71
1998,11,0
1998,12,0
1999,1,0
1999,2,0.19
1999,3,1.45
1999,4,0
1999,5,6.11
1999,6,49.17
1999,7,182.27
1999,8,125.65
1999,9,167.74
1999,10,12.42
1999,11,0
1999,12,3.31
2000,1,1
2000,2,1
2000,3,1
2000,4,2
2000,5,1
2000,6,6
2000,7,5
2000,8,9
2000,9,7
2000,10,8
2000,11,4
2000,12,3
2001,1,12.31
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,8.48
2001,7,96.56
2001,8,226.19
2001,9,187.59
2001,10,19.63
2001,11,0
2001,12,2.45
2002,1,0
2002,2,0
2002,3,0.2
2002,4,0
2002,5,0
2002,6,0
2002,7,38.36
2002,8,144.17
2002,9,155.35
2002,10,19.1
2002,11,3.49
2002,12,0.81
2003,1,7.58
2003,2,4.97
2003,3,2.3
2003,4,14.3
2003,5,1.41
2003,6,0.54
2003,7,73.76
2003,8,85.76
2003,9,229.49
2003,10,33.1
2003,11,0
2003,12,0.13
2004,1,48.55
2004,2,30.51
2004,3,22.37
2004,4,9.88
2004,5,0.64
2004,6,10.29
2004,7,93.56
2004,8,271.71
2004,9,379.62
2004,10,53.4
2004,11,230.3
2004,12,40.1
2005,1,15
2005,2,59
2005,3,11.1
2005,4,0
2005,5,0
2005,6,0
2005,7,80
2005,8,196
2005,9,106.2
2005,10,46.88
2005,11,1.06
2005,12,0
2006,1,0
2006,2,0
2006,3,0
2006,4,0
2006,5,0
2006,6,11.5
2006,7,99.59
2006,8,189.51
2006,9,303.94
2006,10,29.3
2006,11,11.67
2006,12,0.93
2007,1,17.19
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,1.61
2007,7,101.73
2007,8,213.36
2007,9,158.38
2007,10,57.47
2007,11,0
2007,12,9.72
