            6        7        8        9        10         11
1970 199.4327 227.3204 239.5474 281.1917  81.16771  19.104376
1971 146.8545 195.8305 201.5194 272.2324 104.01725  13.150849
1972 237.1248 260.2200 157.7359 180.5594  63.46842  30.987812
1973 261.5514 210.9814 262.0130 291.9500 188.85883  16.751556
1974 433.8087 201.0833 173.5619 289.1590  48.13302  23.855732
1975 200.3900 226.8620 245.2964 243.0053  95.13635  10.677161
1976 245.5845 165.6853 196.4028 204.6041 261.91101  42.084077
1977 233.5014 168.1086 225.7352 188.7418  78.30718  23.639620
1978 224.3373 298.9266 222.5145 274.6975 145.40870  16.670204
1979 146.3360 246.2862 291.7220 273.1284  54.80560   3.466387
1980 175.1251 247.5232 308.7978 244.1604  76.68124  23.333118
1981 294.4548 268.7935 348.5781 242.8951 190.00647  15.978846
1982 153.4502 181.2292 134.0635 183.8484  89.01167   7.491692
1983 133.3734 292.2781 209.3338 238.5027 108.38078  21.622498
1984 237.0891 292.3112 232.5495 450.6032  43.82480   9.246534
1985 227.8421 241.5461 276.6143 173.1179  87.01833  11.053432
1986 195.6654 177.3776 178.7305 157.9863  64.58189  18.861933
1987 206.2817 271.9509 177.5410 190.1780  25.97683  10.153547
1988 243.0312 242.3696 339.0954 241.5569  66.48399   4.038629
1989 230.8222 194.0964 214.9603 358.0661 100.98582  15.830018
1990 244.4055 192.3539 184.0640 175.6417 131.45801  19.092907
1991 240.4684 167.7444 169.2350 228.5198 118.07626  19.441009
1992 156.5858 231.8444 260.5806 284.3519 119.49677  26.069942
1993 277.0366 270.4896 219.3993 276.3926  98.96677  13.698958
1994 187.0648 160.4708 218.2324 181.4836 130.49648  15.975516
1995 225.1111 223.3935 338.4338 267.1192  89.41076  15.837162
1996 297.7346 237.5627 289.3450 212.0503 176.76780  11.915433
1997 236.4893 183.0698 179.1121 247.5804 234.82071  38.819394
1998 211.8447 297.2238 306.2697 375.9440 227.81060  35.150745
1999 276.5259 229.1651 303.1765 308.4507 164.39365   4.772911
2000 272.9642 194.6776 244.8879 278.2245  86.81085  11.754043
2001 192.6194 252.9094 226.4397 219.3063  64.68222   3.742435
2002 204.4437 225.1573 163.5822 274.1881 111.40939 110.306908
2003 302.4231 227.8573 245.4973 297.1939 158.33226   6.753474
2004 243.3814 230.6605 277.9052 260.6595 144.50068   6.713132
2005 161.5724 276.5548 276.6575 239.6951  99.35081   4.194038
2006 231.2763 256.9248 253.0328 285.6451 196.46326  74.527116
2007 153.8643 231.2409 307.4954 222.7747 114.30973   4.859383
2008 203.9282 288.7642 262.1512 319.8915 133.22195   3.567066
2009 202.1102 182.3717 207.8166 236.1916 136.72407  15.284528
2010 224.8269 335.2715 432.4231 307.7605  22.63643   8.932473
