No,anio,mes,Sembrado,Cosechado,Producido,Rendimto,Rndmto-Sem
1,1999,1,11171,,,0,0
2,1999,2,11171,,,0,0
3,1999,3,11171,,,0,0
4,1999,4,11171,4583,7168,1.564041021,0.641661445
5,1999,5,11171,10951,69571,6.352935805,6.227822039
6,1999,6,11171,10951,108412,9.899735184,9.704771283
7,1999,7,11171,10951,110050,10.04931057,9.851400949
8,1999,8,11171,10951,110050,10.04931057,9.851400949
9,1999,9,12951,6125,139979,22.85371429,10.80835457
10,1999,10,12951,12034,139979,11.63195945,10.80835457
11,1999,11,12951,12948,139979,10.81085882,10.80835457
12,1999,12,12951,12948,139979,10.81085882,10.80835457
13,2000,1,13210,,,0,0
14,2000,2,13210,,,0,0
15,2000,3,13210,,,0,0
16,2000,4,13210,1550,7313,4.718064516,0.553595761
17,2000,5,13210,13210,71452,5.408932627,5.408932627
18,2000,6,13210,13210,111344,8.428766086,8.428766086
19,2000,7,13210,13210,123025,9.313020439,9.313020439
20,2000,8,13210,13210,143764,10.88296745,10.88296745
21,2000,9,13210,13210,143764,10.88296745,10.88296745
22,2000,10,13210,13210,143764,10.88296745,10.88296745
23,2000,11,13210,13210,143764,10.88296745,10.88296745
24,2000,12,13210,13210,143764,10.88296745,10.88296745
25,2001,1,9800,,,0,0
26,2001,2,9800,,,0,0
27,2001,3,9800,,,0,0
28,2001,4,9800,464,5095,10.98060345,0.519897959
29,2001,5,9800,4520,49798,11.01725664,5.081428571
30,2001,6,9800,7310,77600,10.61559508,7.918367347
31,2001,7,9800,7418,78772,10.61903478,8.037959184
32,2001,8,9800,7418,100195,13.50700998,10.22397959
33,2001,9,9800,9364,100195,10.70002136,10.22397959
34,2001,10,9800,9364,100195,10.70002136,10.22397959
35,2001,11,9800,9364,100195,10.70002136,10.22397959
36,2001,12,9800,9364,100195,10.70002136,10.22397959
37,2002,1,13209,,,0,0
38,2002,2,13209,,,0,0
39,2002,3,13209,,,0,0
40,2002,4,13209,1400,7000,5,0.529941706
41,2002,5,13209,7800,68360,8.764102564,5.175259293
42,2002,6,13209,11600,83080,7.162068966,6.289650996
43,2002,7,13209,11898,96856,8.14052782,7.332576274
44,2002,8,13209,13209,120403,9.115224468,9.115224468
45,2002,9,13209,13209,129100,9.773639185,9.773639185
46,2002,10,13209,13209,130417,9.873343932,9.873343932
47,2002,11,13209,13209,130417,9.873343932,9.873343932
48,2002,12,13209,13209,130417,9.873343932,9.873343932
49,2003,1,15400,,,0,0
50,2003,2,15400,174,770,4.425287356,0.05
51,2003,3,15400,256,3047,11.90234375,0.197857143
52,2003,4,15400,3808,19573,5.139968487,1.270974026
53,2003,5,15400,8300,66400,8,4.311688312
54,2003,6,15400,14120,98651,6.986614731,6.405909091
55,2003,7,15400,14800,125000,8.445945946,8.116883117
56,2003,8,15400,15400,145700,9.461038961,9.461038961
57,2003,9,15400,15400,150212,9.754025974,9.754025974
58,2003,10,15400,15400,150212,9.754025974,9.754025974
59,2003,11,15400,15400,150212,9.754025974,9.754025974
60,2003,12,15400,15400,150212,9.754025974,9.754025974
61,2004,1,15400,,,0,0
62,2004,2,15400,360,1800,5,0.116883117
63,2004,3,15400,490,5421,11.06326531,0.352012987
64,2004,4,15400,4442,23992,5.401170644,1.557922078
65,2004,5,15400,6000,70103,11.68383333,4.552142857
66,2004,6,15400,12830,104705,8.160950896,6.799025974
67,2004,7,15400,13200,124713,9.447954545,8.098246753
68,2004,8,15400,15007,145000,9.66215766,9.415584416
69,2004,9,15400,15190,155102,10.21079658,10.07155844
70,2004,10,15400,15400,158107,10.26668831,10.26668831
71,2004,11,15400,15400,158107,10.26668831,10.26668831
72,2004,12,15400,15400,158107,10.26668831,10.26668831
73,2005,1,17296,482,361.5,0.75,0.020900786
74,2005,2,17355.75,482,361.5,0.75,0.020828832
75,2005,3,17355.75,3723,4850.5,1.302847166,0.279475102
76,2005,4,17355.75,4816,26710,5.546096346,1.538971234
77,2005,5,17355.75,5084,52687,10.36329662,3.035708627
78,2005,6,17355.75,5129,61395,11.97016962,3.537444363
79,2005,7,17355.75,15380,144756,9.411963589,8.340521153
80,2005,8,17355.75,15360,145422,9.467578125,8.378894603
81,2005,9,17355.75,15365,179501,11.68246014,10.34245135
82,2005,10,17355.75,17331.25,256157.5,14.78009376,14.75922965
83,2005,11,17355.75,17351,256473.25,14.78146793,14.77742247
84,2005,12,17355.75,17351.5,256486.05,14.78177967,14.77815998
85,2006,1,16906,1327,571,0.430293896,0.033774991
86,2006,2,17617.75,1327,1006.8,0.758703843,0.057146911
87,2006,3,17617.75,5062,22143.1,4.374377716,1.256863107
88,2006,4,17617.75,9735.5,55320.9,5.682389194,3.140066126
89,2006,5,17617.75,13287,94007.15,7.0751223,5.33593393
90,2006,6,17617.75,15372,152967.66,9.951057767,8.682587731
91,2006,7,17617.75,15096,149451.8,9.90009274,8.483024223
92,2006,8,17617.75,15206,151768.8,9.980849665,8.614539314
93,2006,9,17617.75,17570.75,265258.66,15.0966043,15.05633012
94,2006,10,17617.75,17570.75,265258.66,15.0966043,15.05633012
95,2006,11,17617.75,17570.75,265258.66,15.0966043,15.05633012
96,2006,12,17617.75,17603.75,265547.66,15.08472115,15.07273403
97,2007,1,16327,1327,597.75,0.450452148,0.036611135
98,2007,2,16345,1327,597.75,0.450452148,0.036570817
99,2007,3,17638,5624,13285.1,2.362215505,0.753208981
100,2007,4,17516.5,8172.5,29825.6,3.649507495,1.702714583
101,2007,5,17516.5,10695,77336.15,7.231056568,4.415045814
102,2007,6,17525,15104.5,121383.6,8.036254096,6.926310984
103,2007,7,17526,15601.5,147809.2,9.474037753,8.433709917
104,2007,8,17526,16314.5,176852.2,10.84018511,10.09084788
105,2007,9,17526,16902.75,226487.2,13.39942909,12.92292594
106,2007,10,17526.25,17361.5,241541.2,13.91246148,13.78168176
107,2007,11,17526.25,17523.25,241541.2,13.7840412,13.78168176
108,2007,12,17526,17524,255583.7,14.58478087,14.58311651
109,2008,1,,,,0,0
110,2008,2,7969.55,2357,8611.31,3.653504455,1.080526504
111,2008,3,7606.49,3708,7924.52,2.137141316,1.041810349
112,2008,4,17076,9139.5,54069.98,5.916076372,3.166431249
113,2008,5,17026,12035,88027.95,7.31432904,5.17020733
114,2008,6,17026,14545,127521.72,8.767392231,7.489822624
115,2008,7,16996,14545,126872.02,8.72272396,7.464816427
116,2008,8,17004.16,14617.16,138714.2,9.489818816,8.157662596
117,2008,9,,,,0,0
118,2008,10,,,,0,0
119,2008,11,,,,0,0
120,2008,12,17004.16,15535.16,219279.73,14.11506119,12.89565224
121,2009,1,,,,0,0
122,2009,2,,,,0,0
