Jul Ago Sep Oct Nov
1970 227 240 281  81.2  19.10
1971 196 202 272 104.0  13.15
1972 260 158 181  63.5  30.99
1973 211 262 292 188.9  16.75
1974 201 174 289  48.1  23.86
1975 227 245 243  95.1  10.68
1976 166 196 205 261.9  42.08
1977 168 226 189  78.3  23.64
1978 299 223 275 145.4  16.67
1979 246 292 273  54.8   3.47
1980 248 309 244  76.7  23.33
1981 269 349 243 190.0  15.98
1982 181 134 184  89.0   7.49
1983 292 209 239 108.4  21.62
1984 292 233 451  43.8   9.25
1985 242 277 173  87.0  11.05
1986 177 179 158  64.6  18.86
1987 272 178 190  26.0  10.15
1988 242 339 242  66.5   4.04
1989 194 215 358 101.0  15.83
1990 192 184 176 131.5  19.09
1991 168 169 229 118.1  19.44
1992 232 261 284 119.5  26.07
1993 270 219 276  99.0  13.70
1994 160 218 181 130.5  15.98
1995 223 338 267  89.4  15.84
1996 238 289 212 176.8  11.92
1997 183 179 248 234.8  38.82
1998 297 306 376 227.8  35.15
1999 229 303 308 164.4   4.77
2000 195 245 278  86.8  11.75
2001 253 226 219  64.7   3.74
2002 225 164 274 111.4 110.31
2003 228 245 297 158.3   6.75
2004 231 278 261 144.5   6.71
2005 277 277 240  99.4   4.19
2006 257 253 286 196.5  74.53
2007 231 307 223 114.3   4.86
2008 289 262 320 133.2   3.57
2009 182 208 236 136.7  15.28
2010 335 432 308  22.6   8.93
